Week,a.influenza,acute.bronchitis,body.temperature,braun.thermoscan,break.a.fever,bronchitis,chest.cold,cold.and.flu,cold.or.flu,cold.versus.flu,cold.vs.flu,contagious.flu,cough.fever,cure.flu,cure.the.flu,dangerous.fever,do.i.have.the.flu,ear.thermometer,early.flu.symptoms,expectorant,exposed.to.flu,fever.cough,fever.flu,fever.reducer,fight.the.flu,flu.and.cold,flu.and.fever,flu.care,flu.children,flu.complications,flu.contagious.period,flu.contagious,flu.cough,flu.duration,flu.fever,flu.germs,flu.headache,flu.how.long,flu.in.children,flu.incubation.period,flu.incubation,flu.lasts,flu.length,flu.medicine,flu.or.cold,flu.recovery,flu.relief,flu.remedies,flu.remedy,flu.report,flu.reports,flu.symptoms,flu.test,flu.treatment,flu.treatments,flu.versus.cold,flu.vs.cold,get.over.the.flu,get.rid.of.the.flu,having.the.flu,high.fever,how.long.contagious,how.long.does.flu.last,how.long.does.the.flu.last,how.long.flu,how.long.is.flu.contagious,how.long.is.the.flu.contagious,how.long.is.the.flu,how.to.get.rid.of.the.flu,how.to.treat.flu,how.to.treat.the.flu,human.temperature,i.have.the.flu,incubation.period.for.flu,incubation.period.for.the.flu,influenza.a.and.b,influenza.a,influenza.contagious,influenza.incubation.period,influenza.incubation,influenza.symptoms,influenza.treatment,influenza.type.a,is.flu.contagious,low.body,medicine.for.flu,medicine.for.the.flu,normal.body.temperature,normal.body,oscillococcinum,over.the.counter.flu.medicine,over.the.counter.flu,painful.cough,pneumonia,rapid.flu,reduce.a.fever,reduce.fever,remedies.for.flu,remedies.for.the.flu,respiratory.flu,robitussin,signs.of.flu,signs.of.the.flu,sinus.infections,sinus,strep.throat,strep,symptoms.of.bronchitis,symptoms.of.flu,symptoms.of.influenza,symptoms.of.pneumonia,symptoms.of.the.flu,taking.temperature,tessalon,the.flu.virus,the.flu,thermoscan,treat.flu,treat.the.flu,treating.flu,treating.the.flu,treatment.for.flu,treatment.for.the.flu,tussin,tussionex,type.a.influenza,upper.respiratory,walking.pneumonia,what.to.do.if.you.have.the.flu,TOTAL PATIENTS
17-03-2012,21,44,61,32,48,51,44,22,17,13,11,11,44,3,7,56,10,50,9,47,7,44,19,57,12,22,30,6,4,5,9,11,15,11,19,11,18,15,6,3,2,16,5,15,17,5,29,21,17,3,0,3,3,7,3,13,11,15,24,14,75,27,16,15,15,10,11,13,25,18,17,60,17,5,8,22,21,9,9,9,25,28,33,12,66,15,15,51,67,22,16,8,31,67,6,57,58,23,14,7,42,5,8,28,68,76,79,49,2,24,48,4,33,44,7,4,29,14,14,10,9,7,11,34,34,33,57,64,10,747570
24-03-2012,18,38,62,21,42,46,33,16,17,10,11,8,38,4,6,36,8,50,7,42,10,38,16,59,6,16,24,4,3,3,5,8,15,9,16,4,20,11,3,2,2,16,3,10,17,6,18,15,12,1,0,2,3,5,7,10,11,15,16,16,65,23,13,12,11,7,6,10,18,12,14,57,15,4,7,19,18,7,9,8,18,29,21,9,72,15,14,50,68,21,7,5,36,62,4,63,45,18,8,7,38,4,7,24,66,73,75,39,2,19,43,4,43,45,7,4,32,12,13,4,5,6,10,40,31,21,52,56,11,755579
31-03-2012,14,45,62,28,33,42,35,17,12,5,10,8,35,3,4,43,8,44,7,47,4,35,13,41,5,17,22,5,3,5,3,8,12,5,13,7,13,9,4,2,2,12,4,12,12,8,16,14,11,2,1,2,2,5,3,5,10,16,15,10,61,20,12,9,9,6,4,7,12,12,13,71,12,3,4,17,14,10,6,6,18,23,18,7,68,16,11,54,69,15,10,7,32,58,7,42,41,15,12,8,37,4,5,27,63,69,72,46,2,20,43,4,31,39,6,3,31,10,11,10,13,4,9,37,38,18,50,51,7,747079
07-04-2012,10,41,60,22,31,41,34,16,15,5,8,7,33,2,4,37,6,50,8,41,5,33,12,46,7,16,19,4,3,3,3,7,12,9,12,7,14,8,3,2,1,7,5,9,15,5,13,12,7,2,0,2,3,5,4,5,8,10,14,12,54,22,10,8,8,5,5,7,18,10,9,61,10,2,5,10,10,5,8,4,13,18,12,5,69,9,11,43,62,19,7,6,31,55,2,44,43,12,9,4,36,3,4,27,61,68,70,40,1,12,36,3,36,38,6,3,27,8,11,4,7,5,6,34,31,12,54,51,17,711808
14-04-2012,11,41,64,20,26,47,34,16,14,5,8,6,34,2,3,37,7,40,7,38,7,34,12,42,12,16,19,3,2,2,4,6,12,6,12,8,15,8,3,2,2,8,4,9,14,4,21,14,10,2,1,2,2,4,3,5,8,11,12,9,58,21,11,8,8,4,4,7,17,13,10,67,10,2,4,11,11,5,7,4,14,22,14,6,75,14,12,48,70,18,6,6,37,57,7,54,37,14,8,4,40,3,4,29,66,72,75,37,2,14,37,3,43,41,6,3,25,8,9,4,6,3,8,43,34,14,53,51,4,717202
21-04-2012,10,39,64,24,29,46,32,17,10,9,8,5,32,3,4,45,5,41,3,51,7,32,11,41,7,17,11,3,3,2,2,5,10,6,11,6,12,8,3,1,1,8,3,10,10,6,19,11,9,1,1,2,2,6,5,9,8,12,17,11,61,20,10,10,8,4,4,8,19,10,6,69,11,2,2,15,10,5,5,4,12,16,12,5,73,14,11,52,71,12,13,8,32,55,5,49,35,12,5,6,37,3,4,23,63,72,72,40,2,16,37,3,40,39,6,3,25,8,13,6,10,6,13,31,33,12,56,49,6,732480
28-04-2012,8,37,65,32,29,43,34,13,11,4,7,5,28,2,4,44,4,45,6,39,4,28,11,35,7,13,18,3,2,2,3,5,9,4,11,5,14,7,3,1,1,12,1,8,11,7,21,12,10,1,1,2,2,4,4,4,7,8,11,11,57,21,9,7,7,4,4,7,15,7,9,70,8,1,2,6,8,4,4,4,11,15,17,5,69,11,13,52,67,17,8,8,31,52,3,35,32,14,15,4,35,3,5,22,60,73,75,39,2,15,33,3,41,35,5,3,36,8,9,6,15,5,8,36,28,17,48,46,6,726772
05-05-2012,8,35,64,18,37,40,28,12,10,8,7,5,26,2,3,33,6,36,4,37,5,26,9,38,7,12,12,3,2,1,2,5,9,5,9,3,9,6,3,1,1,8,3,8,10,8,16,10,10,1,1,1,3,4,2,8,7,12,10,13,56,21,8,6,6,3,3,6,7,7,5,65,8,1,2,9,8,4,4,3,9,15,10,5,69,10,8,48,62,13,9,7,29,49,6,47,36,11,6,3,34,2,4,25,59,71,72,38,1,14,31,3,37,38,5,2,21,7,6,3,7,5,9,32,34,10,46,43,6,662649
12-05-2012,6,32,58,18,25,39,29,13,9,6,7,4,30,2,3,36,5,37,5,33,4,30,10,32,5,13,18,3,2,2,1,4,11,5,10,5,7,6,2,1,1,8,3,7,9,6,7,10,8,1,1,1,1,4,3,6,7,8,8,9,55,19,9,8,6,3,3,4,9,10,8,60,9,1,8,6,6,4,5,4,9,20,10,4,68,10,10,45,63,12,8,4,18,47,1,43,38,12,8,3,28,3,3,23,58,75,76,33,1,10,33,2,42,33,4,2,25,7,10,5,9,4,8,37,30,10,46,43,8,655492
19-05-2012,6,34,58,23,36,38,27,13,8,3,4,4,29,2,4,36,5,36,7,36,5,29,9,33,4,13,13,3,2,2,1,4,9,4,9,4,13,6,2,1,1,7,6,6,8,7,12,9,8,0,1,1,2,3,3,3,4,5,10,12,60,22,8,5,6,4,2,5,12,6,4,66,7,2,4,2,6,2,5,2,7,18,8,4,63,9,9,46,61,11,10,5,24,46,4,51,34,8,9,4,30,2,4,23,59,74,76,36,1,10,29,3,42,34,4,2,28,6,7,3,5,3,6,32,26,8,42,45,11,636347
26-05-2012,5,26,55,25,31,36,25,12,9,5,6,4,29,2,2,35,5,37,4,33,4,29,9,30,5,12,14,2,2,1,1,4,7,5,9,2,12,5,2,1,1,8,3,6,9,5,12,11,7,0,1,1,2,4,3,5,6,5,8,9,63,22,7,5,5,3,3,5,8,5,7,61,9,1,2,5,5,2,4,2,6,11,7,4,56,8,7,42,58,10,6,5,28,45,1,42,42,8,6,4,30,3,3,23,58,71,73,28,1,7,32,2,34,34,4,2,32,6,7,4,3,4,11,30,26,7,41,43,4,616765
02-06-2012,4,32,54,34,25,32,27,12,8,3,4,4,31,2,3,41,4,44,4,31,2,31,9,29,4,12,12,3,2,3,2,4,7,5,9,2,13,5,1,1,1,8,2,5,8,3,11,8,7,1,1,1,1,3,2,3,4,6,7,5,60,22,7,6,5,3,3,5,9,5,5,53,9,2,4,2,4,2,5,3,5,12,6,4,59,5,3,41,55,9,3,4,27,44,3,60,38,8,6,5,27,3,3,19,53,65,67,31,1,6,30,2,40,30,3,2,27,5,5,2,5,2,4,29,24,6,42,42,6,550614
09-06-2012,3,26,54,20,24,32,23,11,7,6,6,3,25,2,4,32,5,42,7,32,2,25,7,36,4,11,14,2,2,2,2,3,5,4,7,4,11,4,2,1,1,4,3,5,7,3,10,8,5,1,1,1,2,3,1,6,6,4,9,6,58,20,6,5,4,2,2,3,8,5,4,44,8,1,3,5,3,1,3,2,4,10,5,3,63,7,5,46,60,10,4,3,27,44,3,42,30,9,6,2,28,1,3,20,52,63,67,31,1,5,31,2,28,30,4,2,19,4,7,2,3,4,11,23,27,5,40,44,7,581700
16-06-2012,3,27,50,20,32,30,27,10,8,3,3,3,24,2,2,30,3,45,4,23,3,24,7,33,2,10,13,2,1,2,1,3,5,5,7,3,11,4,1,1,0,4,1,5,8,4,13,7,5,1,1,1,2,3,2,3,3,6,12,7,56,20,7,5,4,2,2,3,6,4,5,42,5,1,2,4,3,2,2,3,4,8,2,2,63,8,6,40,55,10,3,3,18,43,5,40,33,8,5,2,27,2,4,21,52,61,65,30,1,4,28,1,37,28,2,2,19,4,3,5,3,2,4,25,20,2,34,39,6,564670
23-06-2012,3,22,52,21,24,29,25,9,7,3,4,3,25,1,2,35,4,31,5,26,2,25,7,37,4,9,13,2,1,2,2,3,7,4,7,4,11,4,1,1,1,8,3,6,7,3,8,7,2,1,0,1,1,3,3,3,4,8,9,5,53,21,6,5,4,2,1,3,9,4,3,46,6,1,3,3,3,1,7,3,4,8,5,4,64,7,8,40,56,6,7,4,22,41,2,40,37,7,5,2,24,2,2,18,50,58,61,23,1,2,23,2,31,30,3,2,22,5,4,3,4,3,7,25,26,5,40,35,5,572296
30-06-2012,3,26,53,24,27,29,23,10,5,3,4,3,25,1,2,31,3,46,6,26,3,25,7,35,3,10,10,3,1,1,2,3,5,2,7,3,9,4,2,1,0,6,2,3,5,3,14,6,5,1,0,1,1,2,3,3,4,4,5,4,55,21,5,4,4,2,1,2,5,5,3,42,6,1,3,6,3,1,5,2,3,7,3,2,61,6,4,41,56,8,4,2,25,41,2,37,33,5,8,2,25,2,2,18,49,53,57,21,1,3,25,2,35,25,3,1,28,5,5,3,3,2,3,28,22,3,46,38,5,536380
07-07-2012,3,23,49,27,27,27,26,9,4,3,3,2,23,1,2,32,3,37,4,28,3,23,7,29,3,9,9,2,1,1,2,2,4,2,7,2,9,4,1,0,0,7,2,5,4,4,5,7,4,1,1,1,1,3,2,3,3,6,9,6,53,19,5,4,4,1,1,3,6,6,5,44,6,1,3,5,3,1,2,2,2,2,4,2,55,8,8,33,48,4,5,5,22,37,4,40,33,8,6,2,25,2,3,15,46,51,55,20,1,2,21,1,33,26,3,1,25,5,5,4,3,2,5,30,23,4,38,35,6,505533
14-07-2012,3,22,49,17,28,28,25,9,6,3,3,3,23,2,2,27,4,37,6,30,1,23,7,28,7,9,11,2,1,1,2,3,5,3,7,2,9,3,1,0,0,7,2,4,6,8,7,6,5,1,1,1,1,2,1,3,3,4,8,7,50,19,5,4,3,2,1,2,9,3,3,45,7,2,3,3,3,2,3,2,3,8,3,2,65,6,5,36,54,8,7,6,15,41,1,46,33,5,4,2,27,2,2,19,49,52,57,26,1,4,26,2,34,25,3,1,20,2,4,2,6,2,4,26,26,3,37,37,4,558637
21-07-2012,3,27,52,26,22,26,21,9,6,3,2,2,22,2,3,28,3,38,4,23,4,22,7,37,3,9,11,2,1,1,1,2,4,3,7,3,9,3,1,0,0,8,3,6,6,2,10,8,5,0,1,1,1,2,2,3,2,4,5,3,52,18,5,4,3,1,2,3,6,6,5,48,6,1,2,4,3,2,2,2,3,7,5,2,65,7,6,40,57,9,7,6,10,38,3,33,29,6,5,3,24,2,2,17,47,51,54,21,1,6,19,1,40,28,2,1,21,4,6,3,5,2,6,33,20,5,36,35,6,546713
28-07-2012,3,32,49,22,20,26,24,7,6,3,3,2,22,1,2,33,4,39,5,21,1,22,7,33,3,7,8,3,1,1,2,2,4,3,7,4,7,3,1,1,0,4,4,4,6,2,15,7,6,1,1,1,2,2,1,3,3,5,9,4,47,20,5,5,3,1,1,2,7,4,2,47,5,1,4,2,3,2,2,3,3,6,5,2,64,5,3,40,53,8,2,2,21,38,3,36,30,7,5,1,24,2,3,16,49,49,55,24,1,3,21,2,34,28,2,1,23,4,5,3,4,2,5,28,27,5,34,35,4,557488
04-08-2012,3,31,49,33,18,27,23,9,6,6,3,2,22,1,3,29,4,38,7,25,3,22,6,24,3,9,9,2,1,1,1,2,5,2,6,3,9,4,2,1,1,4,2,5,6,3,5,7,10,1,1,1,2,2,3,6,3,4,4,4,47,18,4,2,4,1,1,2,5,5,3,38,5,1,5,3,3,3,2,2,3,2,2,3,65,7,3,40,53,9,4,2,23,37,2,35,34,7,8,3,23,2,2,19,47,49,53,21,1,3,21,2,31,25,3,1,28,3,4,3,5,2,3,25,24,2,40,32,7,541600
11-08-2012,3,27,47,19,23,26,23,11,5,3,2,2,23,2,3,33,5,34,8,25,4,23,6,35,3,11,10,3,1,1,2,2,6,2,6,4,10,3,2,0,1,8,1,4,5,3,11,6,8,1,1,1,1,2,2,3,2,5,4,7,43,18,5,5,3,2,2,3,4,4,3,34,6,1,2,3,3,1,2,4,3,6,2,3,58,7,8,39,53,10,4,2,10,38,1,44,38,7,4,2,25,3,3,18,49,47,52,24,1,4,19,2,32,23,3,2,26,5,5,3,3,4,6,28,21,2,36,35,4,548294
18-08-2012,3,29,49,22,20,30,27,11,4,3,3,3,20,1,2,26,5,36,6,26,3,20,8,29,4,11,10,3,2,2,2,3,7,2,8,4,10,4,2,1,1,4,3,6,4,2,12,9,4,1,1,1,1,2,1,3,3,4,6,5,51,18,4,4,4,1,2,3,7,7,5,38,7,1,2,6,3,1,2,1,3,6,3,3,58,12,6,41,50,8,4,1,14,40,2,28,31,9,7,2,28,2,2,19,51,49,52,23,1,4,22,2,32,29,3,2,27,7,5,3,3,2,6,27,26,3,36,35,4,560110
25-08-2012,2,38,55,24,28,31,27,14,9,6,5,2,25,2,3,28,3,38,5,28,3,25,9,33,3,14,15,4,2,3,1,2,5,4,9,5,11,4,2,1,1,4,3,7,9,5,11,8,7,1,0,1,2,3,1,6,5,6,10,6,48,18,7,5,4,1,1,3,8,6,5,52,6,1,2,2,2,1,3,2,4,11,3,2,64,7,6,41,61,13,8,4,9,41,5,42,34,8,8,4,27,3,4,18,54,52,57,29,1,4,23,2,31,29,4,2,28,5,6,2,3,2,3,34,25,3,45,37,4,594395
01-09-2012,3,30,60,21,22,33,29,16,8,4,6,3,27,2,3,26,5,41,8,30,3,27,9,37,6,16,14,5,2,1,3,3,8,3,9,4,13,5,2,1,1,6,2,6,8,2,11,9,10,1,2,2,2,3,3,4,6,7,10,6,48,19,6,4,5,2,1,2,9,6,2,55,8,1,5,5,3,2,4,4,4,9,2,3,66,8,6,48,62,11,7,5,22,45,3,36,32,12,9,5,30,2,3,21,58,54,58,27,1,6,26,2,33,35,5,2,22,4,5,4,3,3,5,32,26,2,36,41,7,600354
08-09-2012,4,35,64,27,23,36,35,18,15,3,9,4,27,2,3,45,6,36,10,35,6,27,10,33,3,18,17,6,3,3,2,4,8,8,10,4,12,6,3,0,1,4,4,9,14,4,12,10,11,1,1,2,2,3,2,3,9,5,10,7,53,16,8,5,6,2,2,5,9,7,6,69,9,1,2,5,4,2,2,4,5,12,1,3,65,12,10,51,67,13,5,5,23,47,3,38,32,11,7,4,33,4,4,22,59,57,61,36,2,7,31,2,45,30,6,3,27,6,6,5,3,3,7,34,28,1,44,42,9,558585
15-09-2012,4,40,69,20,27,38,38,22,14,6,9,4,24,2,4,22,7,44,10,36,1,24,12,37,7,22,19,8,4,3,1,4,11,3,12,4,15,7,4,1,1,6,4,10,14,4,19,14,11,1,1,2,3,4,3,6,9,6,21,8,48,17,9,5,7,2,2,4,17,7,5,80,12,1,2,4,4,2,4,3,6,13,4,3,69,10,6,60,74,12,4,5,25,51,2,29,31,13,10,5,35,3,4,25,63,61,64,34,2,11,31,3,46,32,6,3,27,6,5,6,8,4,9,39,26,4,52,50,6,622114
22-09-2012,4,41,71,28,25,43,44,22,14,8,12,5,32,3,2,32,8,48,12,40,6,32,12,41,9,22,17,9,4,6,1,5,10,5,12,6,20,8,4,1,1,10,6,12,14,5,23,13,12,2,1,2,3,4,4,8,12,10,15,12,50,19,10,8,8,3,4,6,13,7,8,75,12,1,1,8,4,2,5,3,7,13,5,4,72,15,7,65,80,17,12,7,28,57,4,40,30,14,5,5,38,4,5,23,65,60,65,40,2,8,35,3,48,36,7,4,33,7,9,7,14,4,5,36,36,5,57,50,3,630563
29-09-2012,6,39,74,24,27,46,47,24,17,6,12,5,26,2,3,28,9,41,9,44,4,26,13,36,8,24,16,11,6,4,1,5,15,5,13,8,21,9,6,1,1,9,7,12,17,7,18,13,15,2,1,2,4,5,4,6,12,10,16,15,53,20,11,9,9,3,2,6,16,9,11,81,15,1,3,4,6,2,2,2,9,15,4,4,75,15,14,60,73,17,10,7,25,60,4,32,32,16,14,7,40,4,7,27,67,63,66,42,2,8,40,4,49,39,6,5,25,8,11,5,11,6,12,40,34,4,56,61,8,623572
06-10-2012,6,34,69,34,29,46,50,22,17,7,15,7,29,3,5,34,7,43,12,42,6,29,15,34,6,22,18,15,6,4,3,7,12,8,15,9,22,11,6,1,1,11,7,12,17,10,20,13,14,1,1,2,4,5,5,7,15,7,14,17,56,21,12,8,11,4,4,6,14,10,8,86,15,1,2,6,6,3,2,5,9,16,5,5,72,15,15,50,72,25,12,10,33,60,5,36,32,12,7,9,42,5,7,24,64,61,66,44,2,13,38,4,41,40,8,5,31,9,11,9,6,5,14,37,35,5,57,54,8,779285
13-10-2012,6,43,63,31,30,48,48,27,17,9,13,6,29,2,4,36,10,51,10,46,7,29,16,24,7,27,23,16,8,5,4,6,17,7,16,8,24,11,7,1,1,13,6,16,17,7,25,17,13,3,2,3,4,5,5,9,13,8,14,14,49,19,11,10,11,4,2,6,13,13,10,74,18,2,6,9,6,2,1,3,9,14,3,6,67,18,8,47,71,21,16,9,37,60,6,35,32,17,11,11,41,5,9,27,64,60,63,46,2,12,39,4,38,44,7,6,30,12,13,6,9,5,17,36,32,3,57,53,10,769959
20-10-2012,6,45,68,30,23,49,42,25,18,8,13,6,32,3,6,40,13,52,9,43,9,32,19,40,8,25,27,11,7,7,3,6,15,8,19,6,26,10,7,1,1,7,6,15,18,5,26,15,18,3,1,3,4,5,5,8,13,12,21,18,54,22,12,9,10,4,3,8,22,14,11,77,18,2,3,7,6,3,5,4,9,14,6,6,74,18,20,48,70,19,9,10,26,62,8,41,35,18,15,8,40,6,10,26,62,62,65,45,2,10,41,5,37,36,9,6,24,10,14,8,11,5,13,41,34,6,58,61,5,797444
27-10-2012,6,51,64,32,23,47,42,25,16,9,13,6,32,3,5,36,11,47,7,45,8,32,17,39,12,25,27,11,7,5,3,6,17,6,17,11,28,11,7,2,1,11,4,14,16,8,23,17,12,2,1,3,4,6,6,9,13,15,13,20,53,21,12,11,11,4,4,7,15,9,8,74,17,2,4,11,6,3,2,2,9,17,8,7,65,17,9,46,66,20,7,6,27,61,4,36,32,20,16,4,39,6,11,24,61,63,66,43,2,10,41,5,40,41,7,5,30,8,7,7,7,6,16,39,35,8,55,60,8,798388
03-11-2012,6,41,61,25,25,46,46,23,17,9,13,7,32,3,5,39,10,38,14,48,7,32,16,35,9,23,24,9,6,4,3,7,15,5,16,7,25,11,6,2,1,10,4,14,17,8,25,19,14,2,1,3,3,5,3,9,13,13,15,18,50,19,13,11,11,5,5,8,15,13,11,67,15,2,3,9,6,4,4,4,10,13,5,6,67,20,13,44,63,17,9,10,20,59,4,33,32,22,17,6,38,5,8,20,57,63,63,46,2,8,40,5,40,49,8,5,27,11,14,9,11,6,11,45,31,5,52,53,10,734781
